10
2.50E+11
-5.167E+03 2.490E+05 -1.536E-03 1.844E-03 1.989E+30
3.599E+10 -4.774E+10 3.731E+04 2.757E+04 3.302E+23
-3.610E+10 4.765E+10 -3.725E+04 -2.766E+04 3.302E+23
8.799E+10 6.118E+10 -2.010E+04 2.906E+04 4.869E+24
-8.799E+10 -6.118E+10 2.010E+04 -2.906E+04 4.869E+24
1.212E+11 -8.924E+10 1.759E+04 2.383E+04 5.974E+24
-1.212E+11 8.924E+10 -1.759E+04 -2.383E+04 5.974E+24
2.267E+11 2.203E+10 -2.338E+03 2.400E+04 6.419E+23
-2.267E+11 -2.203E+10 2.337E+03 -2.400E+04 6.419E+23
-2.118E+11 3.024E+11 4.719E+03 8.434E+03 6.419E+23
